state_id,name,state
644acdf0a6ac80d10e860541,Sandy,Utah
644acdf0a6ac80d10e86052b,Sunrise,Florida
644acdf0a6ac80d10e860531,San Tan Valley,Arizona
644acdf0a6ac80d10e860529,Compton,California
644acdf0a6ac80d10e860529,Arden-Arcade,California
644acdf0a6ac80d10e860529,Hanford,California
644acdf0a6ac80d10e86052b,Boca Raton,Florida
644acdf0a6ac80d10e86053b,Middletown,Ohio
644acdf0a6ac80d10e860532,Livonia,Michigan
644acdf0a6ac80d10e860529,Carson,California
644acdf0a6ac80d10e86054d,Lawrence,Kansas
644acdf0a6ac80d10e860546,Slidell,Louisiana
644acdf0a6ac80d10e86053e,Blacksburg,Virginia
644acdf0a6ac80d10e860529,San Marcos,California
644acdf0a6ac80d10e860531,Goodyear,Arizona
644acdf0a6ac80d10e860544,Edmond,Oklahoma
644acdf0a6ac80d10e86053a,Mayagüez,Puerto Rico
644acdf0a6ac80d10e860530,Fall River,Massachusetts
644acdf0a6ac80d10e860529,South Gate,California
644acdf0a6ac80d10e86053e,Suffolk,Virginia
644acdf0a6ac80d10e86053c,Terre Haute,Indiana
644acdf0a6ac80d10e860559,Missoula,Montana
644acdf0a6ac80d10e860529,Santa Monica,California
644acdf0a6ac80d10e86052e,Roswell,Georgia
644acdf0a6ac80d10e860551,Vineland,New Jersey
644acdf0a6ac80d10e86052b,Plantation,Florida
644acdf0a6ac80d10e86052b,Alafaya,Florida
644acdf0a6ac80d10e860533,Kirkland,Washington
644acdf0a6ac80d10e86054a,Hoover,Alabama
644acdf0a6ac80d10e860529,Westminster,California
644acdf0a6ac80d10e860544,Lawton,Oklahoma
644acdf0a6ac80d10e860529,San Leandro,California
